recipe_id,ingredient,quantity,unit_of_measure,preparation_technique,alternate_ingredient,alternate_quantity
11,extra-virgin olive oil,4,spoon,,,
11,garlic,4,clove,smashed,,
11,lemon juice,3,spoon,,,
11,chili powder,0.5,small spoon,,,
11,salt,,,,,
11,tahini,0.5,glass,,,
11,white yogurt,0.5,glass,,,
12,egg,2,unit,,,
12,extra-virgin olive oil,4,spoon,,,
12,extra-virgin olive oil,1,spoon,,,
12,feta cheese,250,gr,crumbled,,
12,isot pepper,1,small spoon,,,
12,leek,1,unit,thin chopped,,
12,onion,1,unit,chopped,,
12,salt,,,,,
12,sesame seed,1,small spoon,,,
12,spinach,300,gr,cut (size: 1-2 cm),,
12,turkish phyllo pastry,3,sheet,,,
12,water,0.5,glass,,,
12,white yogurt,0.5,glass,,,
13,ground black pepper,1,small spoon,,,
13,bulgur,700,gr,,,
13,ground cumin,0.5,small spoon,,,
13,dry mint,0.5,small spoon,,,
13,egg,4,unit,scrambled,,
13,extra-virgin olive oil,4,spoon,,,
13,fresh mint,15,leaf,thin chopped,,
13,garlic,5,clove,smashed,,
13,isot pepper,6,spoon,,,
13,lemon,,,,,
13,lettuce,,,,,
13,onion,1,unit,chopped,,
13,parsley,1,bunch,thin chopped,,
13,rocket,,,,,
13,salt,,,,,
13,green onion,4,spring,thin chopped,,
13,tomato,5,unit,peeled; grated,,
13,tomato paste,2,spoon,,,
13,turkish pepper paste,3,spoon,,,
13,allspice,1,small spoon,,,
14,ground black pepper,0.25,small spoon,,,
14,butter,50,gr,,,
14,champignon mushroom,500,gr,washed; wiped,,
14,fontina cheese,150,gr,,,
14,nutmeg,1,pinch,,,
14,chili powder,0.25,small spoon,,,
14,taleggio cheese,150,gr,,,
15,carrot,2,unit,,,
15,celery root,1,unit,,,
15,extra-virgin olive oil,5,spoon,,,
15,garlic,3,clove,smashed,,
15,greek yogurt,200,gr,,,
15,lemon,0.25,unit,juiced,,
15,salt,,,,,
15,walnut,3,spoon,finely crumbled,,
15,white yogurt,500,gr,,,
16,butter,0.5,spoon,,,
16,cherry tomato,2,unit,split in two,,
16,cucumber,1,unit,diced,,
16,extra-virgin olive oil,2,spoon,,,
16,extra-virgin olive oil,0.5,glass,,,
16,garlic,1,clove,smashed,,
16,garlic,2,clove,smashed,,
16,iceberg salad,1,unit,cut,,
16,lemon juice,0.25,glass,,,
16,paprika,0.5,small spoon,,,
16,parsley,1,spoon,thin chopped,,
16,ground black pepper,,,,,
16,ground black pepper,,,,,
16,red bell pepper,0.5,unit,cut (size: 5cm long; thin),,
16,red radish,3,unit,thin chopped,,
16,salt,,,,,
16,salt,,,,,
16,shrimp,500,gr,peeled,,
16,green onion,2,unit,thin chopped,,
16,yellow bell pepper,0.5,unit,cut (size: 5cm long; thin),,
17,egg,2,unit,scrambled,,
17,feta cheese,200,gr,crumbled,,
17,fresh mint,1,spoon,chopped,,
17,green onion,4,unit,chopped,,
17,onion,1,unit,chopped,,
17,parsley,2,spoon,chopped,,
17,ground black pepper,,,,,
17,salt,,,,,
17,semolina,4,spoon,,,
17,white yogurt,,,,,
17,zucchini,4,unit,grated; drained,,
18,extra-virgin olive oil,0.5,glass,,,
18,feta cheese,1,glass,crumbled,,
18,fresh red chili,4,unit,thin chopped,,
18,greek yogurt,1.5,glass,,,
18,red bell pepper,2,unit,thin chopped,,
18,white vinegar,2,spoon,,,
19,baking powder,1,small spoon,,,
19,breadcrumb,1,glass,grated,,
19,butter,,,,,
19,coconut,1,glass,grated,,
19,egg,4,unit,,,
19,lemon juice,,,,,
19,sugar,5,spoon,,,
19,sugar,1,glass,,,
19,vanilla extract,6,drop,,,
19,walnut,1,glass,finely crumbled,,
19,water,1.5,glass,,,
20,baking powder,0.5,small spoon,,,
20,baking soda,0.5,small spoon,,,
20,breadcrumb,2,spoon,grated,,
20,ground coriander,2,small spoon,,,
20,corn oil,,,,,
20,ground cumin,1,small spoon,,,
20,dry chickpea,250,gr,soaked (time: 24 hrs),,
20,garlic,6,clove,smashed,,
20,onion,1,unit,thin chopped,,
20,parsley,0.5,bunch,thin chopped,,
20,chili powder,0.5,small spoon,,,
20,salt,1,small spoon,,,
20,white/kamut flour,1,spoon,,,
20,allspice,1,small spoon,,,
21,ground black pepper,0.5,small spoon,,,
21,brown mustard seed,1,small spoon,,,
21,ground coriander,10,small spoon,,,
21,cumin seed,1,small spoon,,,
21,extra-virgin olive oil,0.5,glass,,,
21,fresh green chili,2,unit,thin chopped,,
21,garam masala,1,small spoon,,,
21,garlic,2,clove,minced,,
21,ginger root,1,spoon,minced,,
21,okra,500,gr,,,
21,parsley,0.25,bunch,thin chopped,,
21,salt,1,small spoon,,,
21,tomato,4,unit,sliced,,
21,ground turmeric,0.5,small spoon,,,
22,black pepper seed,20,unit,,,
22,chicken,1,kg,cut in pieces,,
22,cinnamon stick,1,unit,,,
22,clove,12,unit,,,
22,ground coriander,2,small spoon,,,
22,cumin seed,0.5,small spoon,,,
22,extra-virgin olive oil,0.75,glass,,,
22,fresh green chili,2,unit,thin chopped,,
22,garam masala,1,small spoon,,,
22,garlic,5,clove,minced,,
22,ginger root,1,spoon,minced,,
22,green cardamom seed,4,unit,,,
22,onion,1,unit,thin chopped,,
22,parsley,0.25,bunch,thin chopped,,
22,chili powder,0.5,small spoon,,,
22,salt,,,,,
22,tomato,6,unit,peeled; diced,,
22,ground turmeric,0.5,small spoon,,,
22,white yogurt,4,spoon,,,
23,black cardamom,2,unit,,,
23,black pepper seed,12,unit,,,
23,chickpea,2,glass,boiled,,
23,cinnamon stick,1,unit,,,
23,clove,12,unit,,,
23,corn oil,0.75,glass,,,
23,cumin seed,2,small spoon,,,
23,garlic,5,clove,minced,,
23,ginger root,2,spoon,minced,,
23,onion,1,unit,sliced,,
23,rice,400,gr,soaked (time: 30 min),,
23,salt,,,,,
24,ground black pepper,1,small spoon,,,
24,champignon mushroom,15,unit,split in two,,
24,cherry tomato,30,unit,,,
24,ground cumin,1,small spoon,,,
24,eggplant,2,unit,diced,,
24,extra-virgin olive oil,2,glass,,,
24,fresh green chili,10,unit,split in three,,
24,garlic,2,clove,smashed,,
24,lamb meat,2,kg,cut in pieces,,
24,salt,,,,,
24,shallot,15,unit,split in two,,
24,turkish pepper paste,1,spoon,,,
24,white yogurt,2,spoon,,,
25,carrot,4,unit,,,
25,curry powder,0.5,small spoon,,,
25,extra-virgin olive oil,4,spoon,,,
25,garlic,4,clove,smashed,,
25,greek yogurt,5,spoon,,,
25,salt,,,,,
25,sugar,1,small spoon,,,
25,tahini,2,spoon,,,
26,egg,3,unit,,,
26,eggplant,10,unit,split in three (lengthwise),,
26,extra-virgin olive oil,,,,,
26,feta cheese,500,gr,,,
26,fontina cheese,150,gr,,,
26,fresh green chili,8,unit,thin chopped,,
26,garlic,2,clove,smashed,,
26,parsley,0.5,bunch,chopped,,
26,ground black pepper,0.25,small spoon,,,
26,salt,0.25,small spoon,,,
26,tomato,6,unit,diced,,
27,black olive,30,unit,cut in pieces,,
27,ground black pepper,0.25,small spoon,,,
27,chives,15,unit,chopped,,
27,extra-virgin olive oil,6,spoon,,,
27,feta cheese,2,glass,crumbled,,
27,parsley,0.25,bunch,chopped,,
27,ricotta cheese,2,glass,,,
27,salt,,,,,
27,small tomato,30,unit,top cut; carved,,
28,avocado,2,unit,cut in thin slices,,
28,ground black pepper,0.25,small spoon,,,
28,curry powder,4,small spoon,,,
28,extra-virgin olive oil,1,glass,,,
28,extra-virgin olive oil,2,spoon,,,
28,garlic,8,clove,smashed,,
28,ginger root,3,spoon,smashed,,
28,green onion,3,unit,thin chopped,,
28,iceberg salad,1,unit,,,
28,lime,3,unit,juiced,,
28,lime,1,unit,juiced,,
28,mango,2,unit,cut in thin slices,,
28,parsley,0.5,bunch, ,,
28,chili powder,0.25,small spoon,,,
28,salt,1.5,small spoon,,,
28,salt,0.3,small spoon,,,
28,shrimp,1.25,kg,washed; shell removed,,
29,basil leaf,30,unit,chopped,,
29,beef meat,750,gr,minced,,
29,ground cumin,1.5,small spoon,,,
29,dry mint,1,small spoon,,,
29,extra-virgin olive oil,0.5,glass,,,
29,fresh thyme,1,small spoon,thin chopped,,
29,lamb meat,750,gr,minced,,
29,onion,2,unit,thin chopped,,
29,pistachio,5,spoon,grounded,,
29,chili powder,1,small spoon,,,
29,salt,3,small spoon,,,
29,tomato paste,2,spoon,,,
29,turkish pepper paste,3,small spoon,,,
30,ground black pepper,,,,,
30,extra-virgin olive oil,,,,,
30,feta cheese,300,gr,crumbled,,
30,garlic,1,clove,thin chopped,,
30,mussel,1,kg,,,
30,onion,1,unit,thin chopped,,
30,parsley,0.25,bunch,thin chopped,,
30,raki,,,,,
30,salt,,,,,
30,tomato sauce in cubes,600,gr,,,
31,dill,2,spoon,,fresh thyme,
31,calamari,1,kg,,,
31,lemon,1,unit,juiced,,
31,nutmeg,0.5,small spoon,,,
31,onion,1,unit,,,
31,onion,2,unit,,,
31,ground black pepper,,,,,
31,plum,2,spoon,thin chopped,,
31,rice,2,glass,,,
31,salt,,,,,
32,baking soda,0.5,small spoon,,,
32,cilantro,0.5,bunch,thin chopped,parsley,
32,coriander seed,1,small spoon,,,
32,extra-virgin olive oil,3,spoon,,,
32,extra-virgin olive oil,0.5,glass,,,
32,garam masala,1,small spoon,,,
32,garlic,5,clove,smashed,,
32,ginger root,1,spoon,grated,,
32,fresh green chili,3,unit,thin chopped,,
32,lemon,1,unit,juiced,,
32,onion,2,unit,chopped,,
32,potato,4,unit,boiled; peeled; smashed,,
32,chili powder,0.5,small spoon,,,
32,salt,0.5,small spoon,,,
32,salt,,,,,
32,spelt flour,500,gr,,,
32,ground turmeric,1,small spoon,,,
33,eggplant,2,unit,,,
33,extra-virgin olive oil,3,glass,,,
33,garlic,5,clove,minced,,
33,lemon,1,unit,juiced,,
33,onion,1,unit,,,
33,parsley,1,bunch,thin chopped,,
33,red bell pepper,2,unit,,,
33,tomato,4,unit,,,
34,butter,100,gr,melted,,
34,cottage cheese,225,gr,,,
34,muenster cheese,450,gr,,,
34,parsley,0.5,bunch,thin chopped,,
34,phyllo pastry,1,package,,,
35,apple cider vinegar,1,small spoon,,,
35,ground coriander,1,small spoon,,,
35,couscous,100,gr,,,
35,ground cumin,1,small spoon,,,
35,extra-virgin olive oil,1,small spoon,,,
35,honey,2,spoon,,,
35,mushroom,350,gr,rough chopped,,
35,parsley,25,gr,,,
35,ground black pepper,,,,,
35,chili powder,0.5,small spoon,,,
35,salt,,,,,
35,smoked paprika,1,small spoon,,,
35,soy sauce,3,spoon,,,
35,walnut,250,gr,soaked (time: 2hrs); rinsed; drained,,
36,carrot,5,unit,cut in thin slices,,
36,cashew,100,gr,soaked (time: 2hrs); rinsed; drained,,
36,ground cumin,1,small spoon,,,
36,dry coconut shred,20,gr,,,
36,garlic,2,clove,chopped,,
36,ginger root,3,cm,peeled; chopped,,
36,ground black pepper,0.25,small spoon,,,
36,lime,1,unit,juiced,,
36,parsley,10,gr,thin chopped,,
36,salt,0.125,small spoon,,,
36,scallion,4,unit,thin chopped,,
36,water,240,ml,,,
37,cashew,140,gr,soaked (time: 6 hrs),,
37,extra-virgin olive oil,60,ml,,,
37,garlic,1,clove,chopped,,
37,lemon,1.5,unit,juiced,,
37,salt,1,pinch,,,
37,shallot,1,unit,chopped,,
37,spinach,150,gr,,,
37,sundried tomato,40,gr,chopped,,
38,cashew,140,gr,soaked,,
38,cashew,20,gr,chopped,,
38,coconut milk,120,ml,,,
38,curry powder,3,small spoon,,,
38,dry blackcurrant,50,gr,,,
38,extra-virgin olive oil,1,spoon,,,
38,green onion,1,unit,chopped,,
38,lemon juice,1,spoon,,,
38,pumpkin,1,unit,cut into noodles,,
38,salt,,,,,
38,salt,1,pinch,,,
38,shallot,2,spoon,chopped,,
38,spinach,250,gr,chopped,,
39,boneless chicken thigh,1.5,kg,diced (size: 2cm),,
39,brown sugar,1,spoon,,,
39,basil leaf,,,,,
39,frozen pea,500,gr,,,
39,non-sweetened coconut milk,600,ml,,,
39,red bell pepper,1,unit,cut in thin long pieces,,
39,thai green curry paste,4,spoon,,,
39,yellow bell pepper,1,unit,cut in thin long pieces,,
40,basil leaf,12,unit,,,
40,basmati rice,800,gr,,,
40,bay leaf,6,unit,,,
40,curry leaf,12,unit,,nothing,
40,ground turmeric,4,small spoon,,,
40,lime,0.5,unit,juiced,,
40,lime peel,1,unit,grated,,
40,non-sweetened coconut milk,600,ml,,,
40,salt,2,small spoon,,,
40,shallot,2,unit,sautee,,
40,water,600,ml,warm,,
41,bay leaf,3,unit,,,
41,boiled chickpea,300,gr,,,
41,cabbage,300,gr,chopped,,
41,carrot,4,unit,peeled; cut (size: 1 cm),,
41,ground cinnamon,0.5,small spoon,,,
41,ground coriander,1,small spoon,,,
41,fresh coriander leaf,2,small spoon,thin chopped,parsley,
41,couscous,450,gr,,,
41,ground cumin,1,small spoon,,,
41,dried apricot,6,unit,thin chopped,,
41,extra-virgin olive oil,2,spoon,,,
41,garlic,2,small spoon,minced,,
41,ginger root,1,small spoon,grated,,
41,harissa,1,spoon,,turkish tomato paste,
41,onion,1,unit,diced,,
41,ground black pepper,0.25,small spoon,,,
41,raisin,2,small spoon,,,
41,salt,1,small spoon,,,
41,salt,1,small spoon,,,
41,sweet potato,900,gr,peeled; diced (size: 2cm),potato,
41,tomato paste,2,spoon,,,
41,ground turmeric,0.5,small spoon,,,
41,vegetable broth,600,ml,,,
41,water,600,ml,boiling,,
41,zucchini,4,unit,cut (size: 1 cm),,
42,avocado,2,unit,peeled; seeded; thin sliced,,
42,chili powder,0.25,small spoon,,,
42,extra-virgin olive oil,3,spoon,,,
42,garlic,1,clove,minced,,
42,ground coriander,0.5,small spoon,,,
42,ground cumin,0.25,small spoon,,,
42,lime,1,unit,juiced,,
42,piccadilly tomato,2,unit,diced,,
42,salt,0.5,small spoon,,,
42,shallot,1,unit,thin chopped,,
43,dry oregano,0.5,small spoon,,,
43,eggplant,3,unit,,,
43,extra-virgin olive oil,100,ml,,,
43,fresh oregano,2,spoon,chopped,,
43,garlic,3,clove,smashed,,
43,onion,1,unit,thin chopped,,
43,ground black pepper,,,,,
43,pine nut,3,spoon,,,
43,salt,,,,,
43,sweet vinegar,2,small spoon,,,
44,ground black pepper,0.5,small spoon,,,
44,ground black pepper,,,,,
44,bulgur,50,gr, ,couscous,
44,cabbage,1,unit,,,
44,ground cinnamon,0.25,small spoon,,,
44,concentrated tomato paste,1,spoon,,,
44,ground coriander,0.5,small spoon,,,
44,ground cumin,0.5,small spoon,,,
44,dry mint,1,small spoon,,,
44,extra-virgin olive oil,100,ml,,,
44,extra-virgin olive oil,100,ml,,,
44,basil leaf,1,bunch,chopped,dry basil,
44,fresh mint,0.5,bunch,chopped,dry mint,
44,garlic,4,clove,minced,,
44,garlic,1,clove,minced,,
44,onion,1,unit,chopped,,
44,parsley,1,bunch,chopped,,
44,chili powder,0.5,small spoon,,,
44,rice,100,gr,,,
44,salt,1.5,small spoon,,,
44,soya mince,150,gr,,,
44,tomato paste,2,spoon,,,
44,allspice,1,small spoon,,,
44,turkish pepper paste,1,spoon,,,
44,turkish pepper paste,1,spoon,,,
44,white yogurt,500,gr,,,
45,baking powder,1,package,,,
45,butter,,,,,
45,butter,2,spoon,,,
45,corn oil,100,ml,,,
45,egg,3,unit,,,
45,flour,300,gr,,,
45,flour,70,gr,,,
45,mastic gum,1,small spoon,,,
45,orange,5,unit,juiced,,
45,orange juice,100,ml,,,
45,orange peel,1,unit,grated,,
45,salt,0.25,small spoon,,,
45,sugar,170,gr,,,
45,sugar,80,gr,,,
45,sugar,160,gr,,,
45,whole milk,200,ml,,,
45,whole milk,1,lt,,,
46,anchovy,40,gr,cut in pieces,,
46,black olive,150,gr,cut in pieces,,
46,caper,1,small spoon,,,
46,concentrated tomato paste,2,spoon,,,
46,extra-virgin olive oil,0.25,glass,,,
46,fresh rosemary,2,spring,stem removed; thin chopped,,
46,fresh thyme,8,spring,stem removed; thin chopped,,
46,garlic,1,clove,minced,,
46,piccadilly tomato,4,unit,cut in pieces,,
46,sundried tomato,100,gr,cut in pieces,,
46,turkish pepper paste,0.5,small spoon,,nothing,
47,carrot,2,unit,grated,,
47,extra-virgin olive oil,50,ml,,,
47,garlic,2,clove,minced,,
47,greek yogurt,350,gr,,,
47,red bell pepper,2,unit,,,
47,salt,0.5,small spoon,,,
47,walnut,50,gr,crumbled,,
48,concentrated tomato paste,1,spoon,,,
48,eggplant,700,gr,,,
48,extra-virgin olive oil,100,ml,,,
48,fresh mint,2,small spoon,chopped,,
48,garlic,4,clove,minced,,
48,green lentil,170,gr,,,
48,green pepper,2,unit,chopped,,
48,onion,1,unit,chopped,,
48,piccadilly tomato,4,unit,diced,,
48,pomegranate sauce,50,ml,,balsamic vinegar,
48,crushed chillies,0.5,small spoon,,,
48,salt,2,spoon,,,
48,turkish pepper paste,1,small spoon,,,
49,ground black pepper,,,,,
49,butter,250,gr,melted,,
49,egg,2,unit,,,
49,flour,700,gr,,,
49,instant yeast,1,package,,,
49,onion,1,unit,thin chopped,,
49,parsley,6,spring,thin chopped,,
49,potato,5,unit,boiled; peeled; smashed,,
49,crushed chillies,0.25,small spoon,,,
49,salt,1,small spoon,,,
49,salt,,,,,
49,sesame seed,1,small spoon,,,
49,sugar,2,spoon,,,
49,allspice,0.5,small spoon,,,
49,turkish pepper paste,1,small spoon,,,
49,white vinegar,2,spoon,,,
49,whole milk,500,ml,warm,,
50,egg,6,unit,boiled,,
50,extra-virgin olive oil,200,ml,,,
50,french baguette,1,unit,,,
50,garlic,2,clove,,,
50,salt,,,,,
50,stale bread,150,gr,,,
50,tomato,1,kg,,,
50,tuna fish,2,can,,,
50,white vinegar,1,small spoon,,,
51,almond,100,gr,,,
51,breadcrumb,150,gr,,,
51,extra-virgin olive oil,100,ml,,,
51,garlic,2,clove,,,
51,green bean,250,gr,boiled,,
51,green grape,,,,,
51,potato,3,unit,boiled,,
51,salt,,,,,
51,water,1,lt,,,
51,white vinegar,1,small spoon,,,
52,butter,150,gr,,,
52,egg,2,unit,,,
52,flour,300,gr,,,
52,fresh mint,,,,,
52,mastic gum,3,gr,,,
52,ground black pepper,,,,,
52,ricotta cheese,150,gr,,,
52,salt,,,,,
52,tosella cheese,250,gr,,,
53,breadcrumb,100,gr,,,
53,egg yolk,2,unit,,,
53,extra-virgin olive oil,,,,,
53,flour,0.5,spoon,,,
53,lemon juice,2,spoon,,,
53,lemon juice,2,spoon,,,
53,mastic powder,1,small spoon,,,
53,non-salted butter,50,gr,,,
53,onion,5,unit,thin chopped,,
53,parsley,1,spoon,thin chopped,,
53,parsley,,,,,
53,ground black pepper,,,,,
53,pine nut,40,gr,,,
53,rose pepper,,,,,
53,salmon,1,kg,sliced,,
53,salt,,,,,
53,white wine,150,ml,,,
53,white wine,150,ml,,,
54,calamari,1,kg,,,
54,cherry tomato,6,unit,,,
54,extra-virgin olive oil,,,,,
54,feta cheese,400,gr,,,
54,fresh oregano,,,,,
54,fresh thyme,,,,,
54,parsley,,,,,
55,butter,2,spoon,,,
55,calamari,1,kg,cleaned,,
55,cherry tomato,400,gr,,,
55,extra-virgin olive oil,,,,,
55,garlic,3,clove,,,
55,nutmeg,,,,,
55,ouzo,100,ml,,raki,
55,parsley,,,thin chopped,,
55,potato,500,gr,,,
55,salt,,,,,
55,whole milk,120,ml,warm,,
56,almond,30,gr,chopped,,
56,butter,4,spoon,melted,,
56,dried apricot,40,gr,chopped,,
56,dried cherries,40,gr,chopped,,
56,dried plum,40,gr,chopped,,
56,ginger root,25,gr,,,
56,ground cinnamon,0.5,small spoon,,,
56,honey,0.5,spoon,,,
56,pumpkin,1,unit,,,
56,raisin,40,gr,chopped,,
56,rice,400,gr,,,
56,salt,,,,,
56,walnut,30,gr,chopped,,
56,water,60,ml,hot,,
57,butter,80,gr,,,
57,cherry in sirup,,,,,
57,corn oil,,,,,
57,egg,6,unit,,,
57,egg yolk,4,unit,,,
57,flour,300,gr,,,
57,flour,50,gr,,,
57,non-sweetened cocoa powder,3,spoon,,,
57,salt,1,pinch,,,
57,sugar,125,gr,,,
57,sugar powder,,,,,
57,vanilla bean,0.5,unit,,lemon peel,
57,water,250,ml,,,
57,whole milk,500,ml,,,
58,baking soda,0.25,small spoon,,,
58,chaat masala,1,small spoon,,,
58,chickpea flour,180,gr,,,
58,chili powder,0.5,small spoon,,,
58,corn oil,,,,,
58,corn oil,2,spoon,,,
58,ground cumin,0.5,small spoon,,,
58,ground cumin,2,small spoon,,,
58,garam masala,1,small spoon,,,
58,ginger root,2,small spoon,minced,,
58,chili powder,1,small spoon,,cayenne pepper,
58,salt,0.5,small spoon,,,
58,salt,0.25,small spoon,,,
58,sugar,1,small spoon,,,
58,sugar,540,gr,,,
58,tamarind paste,6,spoon,,,
58,water,50,ml,,,
58,water,960,ml,,,
58,white yogurt,300,gr,,,
59,beef meat,1,kg,minced,,
59,ground black pepper,,,,,
59,coriander seed,2,small spoon,crushed,,
59,corn meal flour,200,gr,,,
59,cumin seed,2,small spoon,crushed,,
59,dry pomegranate seed,2,small spoon,,,
59,egg,4,unit,,,
59,fresh coriander leaf,1,bunch,thin chopped,parsley,
59,ginger root,2,small spoon,grated,,
59,fresh green chili,4,unit,chopped,,
59,onion,1,unit,chopped,,
59,onion,1,unit,sliced,,
59,crushed chillies,1,spoon,,,
59,salt,1,small spoon,,,
59,tomato,4,unit,,,
59,white vinegar,2,small spoon,,,
60,coconut milk,2,lt,,,
60,cornstarch,200,gr,,,
60,dried plum,200,gr,,,
60,sugar,500,gr,,,
60,sugar,240,gr,,,
60,water,1,lt,,,
60,water,480,ml,,,
61,corn oil,,,,,
61,dulce de leche,,,,,
61,egg,4,unit,,,
61,extra-virgin olive oil,2,spoon,,,
61,flour,500,gr,,,
61,icing sugar,,,,,
61,salt,1,pinch,,,
61,sugar,4,small spoon,,,
61,whole milk,960,ml,,,
62,basmati rice,1,kg,washed,,
62,beef meat,1.5,kg,diced (size: 1cm),,
62,ground black pepper,1,small spoon,,,
62,butter,2,spoon,,,
62,corn oil,200,ml,,,
62,garlic,12,clove,thin chopped,,
62,ginger root,2,spoon,grated,,
62,onion,4,unit,thin chopped,,
62,salt,2,spoon,,,
63,basmati rice,1,kg,washed,,
63,chicken thigh,1,kg,washed; dried,,
63,chili powder,1,small spoon,,,
63,extra-virgin olive oil,400,ml,,,
63,maggi,2,cube,,,
63,onion,2,unit,thin chopped,,
63,salt,2,spoon,,,
64,basmati rice,1,kg,washed,,
64,chicken thigh,1,kg,washed; dried,,
64,chili powder,1,small spoon,,,
64,extra-virgin olive oil,400,ml,,,
64,maggi,1,cube,,,
64,onion,2,unit,thin chopped,,
64,salt,2,spoon,,,
64,salt,1,small spoon,,,
64,tomato sauce,700,gr,,,
65,basmati rice,500,gr,washed,,
65,corn oil,100,ml,,,
65,corn oil,2,spoon,,,
65,eggplant,1,unit,diced (size: 2cm),,
65,fresh green chili,8,unit,chopped,,
65,garlic,2,clove,thin chopped,,
65,maggi,2,cube,,,
65,mutton meat,500,gr,,,
65,okra,200,gr,,,
65,onion,1,unit,thin chopped,,
65,peanut paste,3,small spoon,,,
65,salt,1,spoon,,,
65,shallot,2,unit,thin chopped,,
65,tomato sauce in cubes,200,ml,,,
66,banana,1.5,kg,smashed,,
66,couscous,300,gr,,,
66,sugar,300,gr,,,
66,water,400,ml,boiling,,
66,white yogurt,700,gr,,,
66,whole milk,1.5,lt,,,
67,basmati rice,1,kg,washed,,
67,beef meat,1,kg,diced (size: 2cm),,
67,chili powder,0.5,small spoon,,,
67,corn oil,400,ml,,,
67,onion,2,unit,diced (size: 1cm),,
67,salt,2,spoon,,,
67,salt,1,spoon,,,
67,tomato sauce,700,gr,,,
68,ground black pepper,1,small spoon,,,
68,chili powder,1,small spoon,,,
68,dijon mustard,2,spoon,,,
68,eggplant,1,unit,diced (size: 2cm),,
68,extra-virgin olive oil,100,ml,,,
68,garlic,2,clove,thin chopped,,
68,maggi,2,cube,,,
68,manioc,1,unit,peeled; diced (size: 2cm),,
68,beef meat,1,kg,diced (size: 2-3cm),,
68,onion,1,unit,thin chopped,,
68,potato,2,unit,peeled; diced (size: 2cm),,
68,salt,1,small spoon,,,
68,tomato,2,unit,diced,,
68,tomato sauce,350,gr,,,
69,ground black pepper,0.25,small spoon,,,
69,butter,3,spoon,,,
69,flour,3,spoon,,,
